(produit) type produit;(produit) numero AMM;(produit) nom produit;(produit) seconds noms commerciaux;(produit) titulaire;(produit) type commercial;(produit) gamme usage;(produit) mentions autorisees;(produit) Substances actives;(produit) fonctions;(produit) formulations;identifiant usage lib court;identifiant usage; date decision;stade cultural min (BBCH);stade cultural max (BBCH);etat usage;dose retenue;dose retenue unite;delai avant recolte jour;delai avant recolte bbch;nombre max d'application;date fin distribution;date fin utilisation;condition emploi;ZNT aquatique (en m);ZNT arthropodes non cibles (en m);ZNT plantes non cibles (en m);mentions autorisees;Unnamed: 29
PPP;2180319;CUPROXAT PRET A L'EMPLOI;SOLUTION BORDELAISE SPRAY;NUFARM SAS;Produit de référence;Amateur / emploi autorisé dans les jardins;Emploi autorisé dans les jardins | Production biologique amateur;sulfate de cuivre tribasique (Copper compounds) 5.11 g/L;Fongicide;Autre liquide;12703203;Vigne*Trt Part.Aer.*Mildiou(s);19/04/2019;91.0;99.0;Autorisé;1000.0;mL/10 m²;;;5.0;;;Uniquement sur raisin de table. 5 applications par an et par culture pour contrôler l'ensemble des maladies.;5.0;;;;
PPP;2180319;CUPROXAT PRET A L'EMPLOI;SOLUTION BORDELAISE SPRAY;NUFARM SAS;Produit de référence;Amateur / emploi autorisé dans les jardins;Emploi autorisé dans les jardins | Production biologique amateur;sulfate de cuivre tribasique (Copper compounds) 5.11 g/L;Fongicide;Autre liquide;12703203;Vigne*Trt Part.Aer.*Mildiou(s);19/04/2019;91.0;99.0;Autorisé;1000.0;mL/10 m²;;;4.0;;;Uniquement sur raisin de cuve. 5 applications par an et par culture pour contrôler l'ensemble des maladies.;5.0;;;;
PPP;2150417;DIPEL DF JARDIN;BACTOSPEINE DF JARDIN | BACTURA DF JARDIN | SCUTELLO DF JARDIN | BACIVERS DF JARDIN;SUMITOMO CHEMICAL AGRO EUROPE SAS;Deuxième gamme;Amateur / emploi autorisé dans les jardins;Emploi autorisé dans les jardins | Liste biocontrôle | Production biologique amateur;Bacillus thuringiensis subsp. kurstaki (Bacillus thuringiensis subsp. kurstaki strain ABTS 351) 1170.0 10^10 UFC/kg;Insecticide;Granulé dispersable;12703104;Vigne*Trt Part.Aer.*Tordeuses de la grappe;29/09/2015;;;Autorisé;0.75;g/10 m²;5.0;;6.0;;;- Emploi autorisé durant la floraison et au cours des périodes de production d'exsudats, en dehors de la présence des abeilles;5.0;;;;
PPP;2190011;JULIETTA GARDEN;;AGRAUXINE;Produit de référence;Amateur / emploi autorisé dans les jardins;Produit à faible risque article 47 | Liste biocontrôle | Emploi autorisé dans les jardins | Production biologique amateur;Saccharomyces cerevisiae souche LAS02 (Saccharomyces cerevisiae LAS02) 10000000000000 UFC/kg;Fongicide;Granulé dispersable;12703205;Vigne*Trt Part.Aer.*Pourriture grise;22/02/2019;60.0;89.0;Autorisé;2.5;g/10 m²;1.0;;6.0;;;;5.0;;;;
PPP;2140091;MAGNET MED;;SUTERRA EUROPE BIOCONTROL SL;Produit de référence;Professionnel;Utilisable en agriculture biologique | Liste biocontrôle;deltaméthrine (Deltamethrin) 10.0 mg/Unité;Insecticide;Appât prêt à l'emploi;12703140;Vigne*Trt Part.Aer.*Mouches;20/06/2014;;;Autorisé;75.0;pièges/ha;;;;;;- De 50 à 75 pièges/ha - Autorisé pour lutter contre Ceratitis capitata.;;;;;
PPP;2150168;ACOIDAL WG;;QUIMETAL INTERNACIONAL;Produit de référence;Professionnel;Liste biocontrôle | Utilisable en agriculture biologique;soufre (Sulphur) 800.0 g/kg;Fongicide;Granulé dispersable;12703204;Vigne*Trt Part.Aer.*Oïdium(s);23/07/2015;;;Autorisé;4.0;kg/ha;5.0;;8.0;;;;5.0;;;;
PPP;2190843;LUMIERE;;KOPPERT FRANCE;Produit de revente;Professionnel;Liste biocontrôle | Utilisable en agriculture biologique;huile de paraffine (CAS n°64742-46-7) (Paraffin oils) 800.0 g/L;Acaricide | Insecticide;Concentré émulsionnable;12703105;Vigne*Trt Part.Aer.*Stad. Hivern. Ravageurs;08/11/2019;0.0;11.0;Autorisé;10.8;L/ha;;;1.0;;;Efficacité montrée sur Parthenolecanium corni. Volume maximal de bouillie : 600 L/ha.;5.0;5.0;;;
PPP;9700463;PANTHEOS;FASTIME | FORUM FP DG;BASF FRANCE SAS;Produit de référence;Professionnel;;diméthomorphe (Dimethomorph) 113.0 g/kg | folpel (Folpet) 600.0 g/kg;Fongicide;Granulé dispersable;12703203;Vigne*Trt Part.Aer.*Mildiou(s);21/02/2013;;;Autorisé;2.0;kg/ha;35.0;;2.0;;;Uniquement sur raisin de cuve:  En une ou deux applications en alternance avec un autre produit à mode d'action différent.;5.0;;;;
PPP;2110173;PERGADO C PEPITE;CARIAL C PEPITE;SYNGENTA FRANCE SAS;Produit de référence;Professionnel;;mandipropamid (Mandipropamid) 2.5 % | cuivre de l'oxychlorure de cuivre (Copper compounds) 13.95 %;Fongicide;Granulé dispersable;12703203;Vigne*Trt Part.Aer.*Mildiou(s);01/12/2011;;;Autorisé;5.0;kg/ha;21.0;;2.0;;;;20.0;;5.0;;
PPP;2080100;PERGADO F PEPITE;AMPHORE F PEPITE | CARIAL F PEPITE | GERGOVI F PEPITE | MDIF1 | MDIF2 | MDIF3 | PERGADO F | REGUANCE F PEPITE;SYNGENTA FRANCE SAS;Produit de référence;Professionnel;;mandipropamid (Mandipropamid) 50.0 g/kg | Folpet (Folpet) 400.0 g/kg;Fongicide;Granulé dispersable;12703203;Vigne*Trt Part.Aer.*Mildiou(s);08/12/2016;12.0;69.0;Autorisé;2.5;kg/ha;;;2.0;;;Uniquement autorisé sur raisin de table.;20.0;;;;
PPP;2080100;PERGADO F PEPITE;AMPHORE F PEPITE | CARIAL F PEPITE | GERGOVI F PEPITE | MDIF1 | MDIF2 | MDIF3 | PERGADO F | REGUANCE F PEPITE;SYNGENTA FRANCE SAS;Produit de référence;Professionnel;;mandipropamid (Mandipropamid) 50.0 g/kg | Folpet (Folpet) 400.0 g/kg;Fongicide;Granulé dispersable;12703203;Vigne*Trt Part.Aer.*Mildiou(s);08/12/2016;12.0;81.0;Autorisé;2.5;kg/ha;28.0;;2.0;;;Uniquement autorisé sur raisin de cuve.;20.0;;;;
PPP;2150155;BLINDAR;CASSAT WP;ISAGRO SPA;Produit de référence;Professionnel;Liste biocontrôle | Utilisable en agriculture biologique;Trichoderma gamsii ICC080 (Trichoderma gamsii ICC080) 20.0 g/kg | Trichoderma asperellum ICCO12 (Trichoderma asperellum strains ICC012 T25 and TV1) 20.0 g/kg;Fongicide;Poudre mouillable;12703201;Vigne*Trt Part.Aer.*Esca et black dead arm;05/02/2018;0.0;10.0;Autorisé;1.0;kg/ha;;;2.0;;;;5.0;;;;
PPP;2140183;DECLINE 1.5 EW;JABAL;CHEMINOVA Agro France SAS;Générique;Professionnel;Mention abeille;Deltamethrin (Deltamethrin) 15.0 g/L;Insecticide;Emulsion de type aqueux;12703117;Vigne*Trt Part.Aer.*Chenilles phytophages;;;;Autorisé;0.5;L/ha;14.0;;3.0;;;raisin de cuve: ;20.0;5.0;;;
PPP;2140183;DECLINE 1.5 EW;JABAL;CHEMINOVA Agro France SAS;Générique;Professionnel;Mention abeille;Deltamethrin (Deltamethrin) 15.0 g/L;Insecticide;Emulsion de type aqueux;12703119;Vigne*Trt Part.Aer.*Cicadelles (1);;;;Autorisé;0.83;L/ha;14.0;;3.0;;;raisin de cuve: sur cicadelle des grillures;20.0;5.0;;;
PPP;2140183;DECLINE 1.5 EW;JABAL;CHEMINOVA Agro France SAS;Générique;Professionnel;Mention abeille;Deltamethrin (Deltamethrin) 15.0 g/L;Insecticide;Emulsion de type aqueux;12703119;Vigne*Trt Part.Aer.*Cicadelles (1);;;;Autorisé;0.5;L/ha;7.0;;3.0;;;raisin de table: sur cicadelles de la flavescence dorée;20.0;5.0;;;
PPP;2140183;DECLINE 1.5 EW;JABAL;CHEMINOVA Agro France SAS;Générique;Professionnel;Mention abeille;Deltamethrin (Deltamethrin) 15.0 g/L;Insecticide;Emulsion de type aqueux;12703119;Vigne*Trt Part.Aer.*Cicadelles (1);;;;Autorisé;0.5;L/ha;14.0;;3.0;;;raisin de cuve: sur cicadelles de la flavescence dorée;20.0;5.0;;;
PPP;2140183;DECLINE 1.5 EW;JABAL;CHEMINOVA Agro France SAS;Générique;Professionnel;Mention abeille;Deltamethrin (Deltamethrin) 15.0 g/L;Insecticide;Emulsion de type aqueux;12703112;Vigne*Trt Part.Aer.*Coléoptères phytophages;;;;Autorisé;0.5;L/ha;14.0;;3.0;;;raisin de cuve: ;20.0;5.0;;;
PPP;2140183;DECLINE 1.5 EW;JABAL;CHEMINOVA Agro France SAS;Générique;Professionnel;Mention abeille;Deltamethrin (Deltamethrin) 15.0 g/L;Insecticide;Emulsion de type aqueux;12703140;Vigne*Trt Part.Aer.*Mouches;;;;Autorisé;0.5;L/ha;14.0;;3.0;;;raisin de cuve: ;20.0;5.0;;;
PPP;2140183;DECLINE 1.5 EW;JABAL;CHEMINOVA Agro France SAS;Générique;Professionnel;Mention abeille;Deltamethrin (Deltamethrin) 15.0 g/L;Insecticide;Emulsion de type aqueux;12703141;Vigne*Trt Part.Aer.*Thrips;;;;Autorisé;0.83;L/ha;14.0;;3.0;;;raisin de cuve: ;20.0;5.0;;;
PPP;2140183;DECLINE 1.5 EW;JABAL;CHEMINOVA Agro France SAS;Générique;Professionnel;Mention abeille;Deltamethrin (Deltamethrin) 15.0 g/L;Insecticide;Emulsion de type aqueux;12702104;Vigne*Trt Sol*Ravageurs du sol;;;;Autorisé;0.5;L/ha;14.0;;3.0;;;raisin de cuve: ;20.0;5.0;;;
PPP;2140183;DECLINE 1.5 EW;JABAL;CHEMINOVA Agro France SAS;Générique;Professionnel;Mention abeille;Deltamethrin (Deltamethrin) 15.0 g/L;Insecticide;Emulsion de type aqueux;12703104;Vigne*Trt Part.Aer.*Tordeuses de la grappe;;;;Autorisé;0.83;L/ha;14.0;;3.0;;;raisin de cuve: ;20.0;5.0;;;
PPP;2140183;DECLINE 1.5 EW;JABAL;CHEMINOVA Agro France SAS;Générique;Professionnel;Mention abeille;Deltamethrin (Deltamethrin) 15.0 g/L;Insecticide;Emulsion de type aqueux;12703117;Vigne*Trt Part.Aer.*Chenilles phytophages;;;;Autorisé;0.5;L/ha;7.0;;3.0;;;raisin de table: ;20.0;5.0;;;
PPP;2140183;DECLINE 1.5 EW;JABAL;CHEMINOVA Agro France SAS;Générique;Professionnel;Mention abeille;Deltamethrin (Deltamethrin) 15.0 g/L;Insecticide;Emulsion de type aqueux;12703119;Vigne*Trt Part.Aer.*Cicadelles (1);;;;Autorisé;0.83;L/ha;7.0;;3.0;;;raisin de table: sur cicadelle des grillures;20.0;5.0;;;
PPP;2140183;DECLINE 1.5 EW;JABAL;CHEMINOVA Agro France SAS;Générique;Professionnel;Mention abeille;Deltamethrin (Deltamethrin) 15.0 g/L;Insecticide;Emulsion de type aqueux;12703112;Vigne*Trt Part.Aer.*Coléoptères phytophages;;;;Autorisé;0.5;L/ha;7.0;;3.0;;;raisin de table: ;20.0;5.0;;;
PPP;2140183;DECLINE 1.5 EW;JABAL;CHEMINOVA Agro France SAS;Générique;Professionnel;Mention abeille;Deltamethrin (Deltamethrin) 15.0 g/L;Insecticide;Emulsion de type aqueux;12703141;Vigne*Trt Part.Aer.*Thrips;;;;Autorisé;0.83;L/ha;7.0;;3.0;;;raisin de table: ;20.0;5.0;;;
PPP;2140183;DECLINE 1.5 EW;JABAL;CHEMINOVA Agro France SAS;Générique;Professionnel;Mention abeille;Deltamethrin (Deltamethrin) 15.0 g/L;Insecticide;Emulsion de type aqueux;12703140;Vigne*Trt Part.Aer.*Mouches;;;;Autorisé;0.5;L/ha;7.0;;3.0;;;raisin de table: ;20.0;5.0;;;
PPP;2140183;DECLINE 1.5 EW;JABAL;CHEMINOVA Agro France SAS;Générique;Professionnel;Mention abeille;Deltamethrin (Deltamethrin) 15.0 g/L;Insecticide;Emulsion de type aqueux;12703104;Vigne*Trt Part.Aer.*Tordeuses de la grappe;;;;Autorisé;0.83;L/ha;7.0;;3.0;;;raisin de table: ;20.0;5.0;;;
PPP;2140183;DECLINE 1.5 EW;JABAL;CHEMINOVA Agro France SAS;Générique;Professionnel;Mention abeille;Deltamethrin (Deltamethrin) 15.0 g/L;Insecticide;Emulsion de type aqueux;12702104;Vigne*Trt Sol*Ravageurs du sol;;;;Autorisé;0.5;L/ha;7.0;;3.0;;;raisin de table: ;20.0;5.0;;;
PPP;9000490;STRATOS ULTRA;DEVIN | SERAC;BASF FRANCE SAS;Produit de référence;Professionnel;;cycloxydime (Cycloxydim) 100.0 g/L;Herbicide;Concentré émulsionnable;12705902;Vigne*Désherbage*Cult. Installées;27/06/2018;0.0;79.0;Autorisé;4.0;L/ha;42.0;;1.0;;;Efficacité montrée sur graminées vivaces à la dose de 4 L/ha. Efficacité montrée sur graminées annuelles à la dose de 2 L/ha.;5.0;;5.0;;
PPP;9000490;STRATOS ULTRA;DEVIN | SERAC;BASF FRANCE SAS;Produit de référence;Professionnel;;cycloxydime (Cycloxydim) 100.0 g/L;Herbicide;Concentré émulsionnable;12705901;Vigne*Désherbage*Pépi. Jeunes plantat.;27/06/2018;0.0;79.0;Autorisé;4.0;L/ha;;;1.0;;;Efficacité montrée sur graminées vivaces à la dose de 4 L/ha. Efficacité montrée sur graminées annuelles à la dose de 2 L/ha.;5.0;;5.0;;
PPP;9400346;STYROCUIVRE DF;CUPRAFOR MICRO | GRECO WG | PLOXY 50 WG;INDUSTRIAS QUIMICAS DEL VALLES;Produit de référence;Professionnel;Utilisable en agriculture biologique;cuivre de l'oxychlorure de cuivre (Copper compounds) 50.0 %;Fongicide | Bactéricide;Granulé dispersable;12703203;Vigne*Trt Part.Aer.*Mildiou(s);18/09/2012;;;Autorisé;10.0;kg/ha;21.0;;;;;;;;;;
PPP;2110021;KENTAN 40 WG;;ISAGRO SPA;Produit de référence;Professionnel;Utilisable en agriculture biologique;cuivre (Copper compounds) 400.0 g/kg;Fongicide;Granulé dispersable;12703203;Vigne*Trt Part.Aer.*Mildiou(s);28/04/2011;;;Autorisé;3.0;kg/ha;21.0;;3.0;;;;20.0;5.0;5.0;;
PPP;9900227;HELIOCUIVRE;HELIOTERPEN CUIVRE;ACTION PIN;Produit de référence;Professionnel;Utilisable en agriculture biologique;hydroxyde de cuivre (Copper compounds) 645.0 g/L;Fongicide;Suspension concentrée;12703301;Vigne*Trt Part.Aer.*Bactériose(s);14/06/2005;;;Autorisé;10.0;L/ha;;;;;;;;;;;
PPP;9900227;HELIOCUIVRE;HELIOTERPEN CUIVRE;ACTION PIN;Produit de référence;Professionnel;Utilisable en agriculture biologique;hydroxyde de cuivre (Copper compounds) 645.0 g/L;Fongicide;Suspension concentrée;12703203;Vigne*Trt Part.Aer.*Mildiou(s);06/12/2002;;;Autorisé;3.0;L/ha;;;;;;;;;;;
PPP;9600368;SLOGAN;CHAOLINE | SILLAGE;BAYER SAS;Produit de référence;Professionnel;;métirame (Metiram) 289.0 g/kg | fosétyl d'aluminium (Fosetyl) 471.0 g/kg;Fongicide;Granulé dispersable;12703202;Vigne*Trt Part.Aer.*Excoriose;30/08/2013;7.0;12.0;Autorisé;3.0;kg/ha;35.0;;2.0;;;;5.0;5.0;;;
PPP;9600368;SLOGAN;CHAOLINE | SILLAGE;BAYER SAS;Produit de référence;Professionnel;;métirame (Metiram) 289.0 g/kg | fosétyl d'aluminium (Fosetyl) 471.0 g/kg;Fongicide;Granulé dispersable;12703203;Vigne*Trt Part.Aer.*Mildiou(s);27/05/2011;13.0;81.0;Autorisé;4.0;kg/ha;35.0;;3.0;;;;5.0;5.0;;;
PPP;9600368;SLOGAN;CHAOLINE | SILLAGE;BAYER SAS;Produit de référence;Professionnel;;métirame (Metiram) 289.0 g/kg | fosétyl d'aluminium (Fosetyl) 471.0 g/kg;Fongicide;Granulé dispersable;12703207;Vigne*Trt Part.Aer.*Rougeot parasitaire;27/05/2011;13.0;81.0;Autorisé;4.0;kg/ha;35.0;;3.0;;;;5.0;5.0;;;
PPP;2180751;TESSIOR;;BASF FRANCE SAS;Produit de référence;Professionnel;;boscalide (Boscalid) 10.0 g/L | pyraclostrobine (Pyraclostrobin) 5.0 g/L;Fongicide;Suspension concentrée pour application directe;12703201;Vigne*Trt Part.Aer.*Esca et black dead arm;21/11/2018;0.0;0.0;Autorisé;20.0;L/ha;;;1.0;;;;5.0;;;;
PPP;2180751;TESSIOR;;BASF FRANCE SAS;Produit de référence;Professionnel;;boscalide (Boscalid) 10.0 g/L | pyraclostrobine (Pyraclostrobin) 5.0 g/L;Fongicide;Suspension concentrée pour application directe;12703211;Vigne*Trt Part.Aer.*Eutypiose;21/11/2018;0.0;0.0;Autorisé;20.0;L/ha;;;1.0;;;;5.0;;;;
PPP;9600001;VALIANT FLASH;LEXIC FLASH;BAYER SAS;Produit de référence;Professionnel;;cymoxanil (Cymoxanil) 40.0 g/kg | folpel (Folpet) 250.0 g/kg | fosétyl (Fosetyl) 500.0 g/kg;Fongicide;Granulé dispersable;12703203;Vigne*Trt Part.Aer.*Mildiou(s);08/10/2015;13.0;79.0;Autorisé;3.0;kg/ha;28.0;;6.0;;;Uniquement autorisé sur raisin de cuve;20.0;;;;
PPP;9600001;VALIANT FLASH;LEXIC FLASH;BAYER SAS;Produit de référence;Professionnel;;cymoxanil (Cymoxanil) 40.0 g/kg | folpel (Folpet) 250.0 g/kg | fosétyl (Fosetyl) 500.0 g/kg;Fongicide;Granulé dispersable;12703203;Vigne*Trt Part.Aer.*Mildiou(s);08/10/2015;13.0;69.0;Autorisé;3.0;kg/ha;;;6.0;;;Uniquement autorisé sur raisin de table;20.0;;;;
PPP;2140270;ENERVIN ACTIVE;PRIVEST ACTIVE;BASF FRANCE SAS;Produit de référence;Professionnel;;amétoctradine (Ametoctradin) 200.0 g/L;Fongicide;Suspension concentrée;12703203;Vigne*Trt Part.Aer.*Mildiou(s);18/12/2014;;;Autorisé;1.5;L/ha;21.0;;2.0;;;Les conditions d'utilisation de la préparation, compte tenu des bonnes pratiques agricoles critiques proposées, permettent de respecter la limite maximale de résidus en recommandant un délai avant récolte de 21 jours.;5.0;;;;
PPP;2171241;KILATE WG;;LAINCO S.A;Produit de référence;Professionnel;;fosétyl d'aluminium (Fosetyl) 800.0 g/kg;Fongicide;Granulé dispersable;12703203;Vigne*Trt Part.Aer.*Mildiou(s);20/02/2018;12.0;;Autorisé;2.5;kg/ha;28.0;;3.0;;;Intervalle minimum entre les applications: 10 jours.;5.0;;;;
PPP;2180275;ROMEO GARDEN;;AGRAUXINE;Deuxième gamme;Amateur / emploi autorisé dans les jardins;Produit à faible risque article 47 | Emploi autorisé dans les jardins | Liste biocontrôle | Production biologique amateur;Cerevisane (Cerevisane) 941.0 g/kg;Stimulation des défenses naturelles;Poudre mouillable;901063;Vigne*Trt Part.Aer.*Stimul. Déf. naturelles;13/07/2018;12.0;89.0;Autorisé;2.5;g/100 m²;1.0;;10.0;;;Efficacité montrée sur mildiou, oïdium et pourriture grise. Intervalle minimum entre les applications : 7 jours.;5.0;;;;
PPP;9400085;TREBON 30 EC;UPPERCUT;BELCHIM CROP PROTECTION NV/SA;Produit de référence;Professionnel;Mention abeille;étofenprox (Etofenprox) 287.5 g/L;Insecticide;Concentré émulsionnable;12703119;Vigne*Trt Part.Aer.*Cicadelles (1);02/12/2015;69.0;89.0;Autorisé;0.3;L/ha;14.0;;1.0;;;- Pour protéger les organismes aquatiques, respecter une zone non traitée de 50 mètres comportant un dispositif végétalisé permanent non traité d'une largeur de 20 mètres en bordure des points d'eau pour les usages sur vigne.;50.0;20.0;;;
PPP;9400085;TREBON 30 EC;UPPERCUT;BELCHIM CROP PROTECTION NV/SA;Produit de référence;Professionnel;Mention abeille;étofenprox (Etofenprox) 287.5 g/L;Insecticide;Concentré émulsionnable;12703104;Vigne*Trt Part.Aer.*Tordeuses de la grappe;02/12/2015;69.0;89.0;Autorisé;0.4;L/ha;14.0;;1.0;;;- Pour protéger les organismes aquatiques, respecter une zone non traitée de 50 mètres comportant un dispositif végétalisé permanent non traité d'une largeur de 20 mètres en bordure des points d'eau pour les usages sur vigne.;50.0;20.0;;;
PPP;2010552;SIRBEL UD;ODENA UD;BAYER SAS;Produit de référence;Professionnel;;folpel (Folpet) 56.25 % | iprovalicarbe (Iprovalicarb) 9.0 %;Fongicide;Granulé dispersable;12703203;Vigne*Trt Part.Aer.*Mildiou(s);02/06/2014;;69.0;Autorisé;1.3;kg/ha;28.0;;2.0;;;pour le raisin de table.: Au plus deux applications non consécutives   ;5.0;5.0;;;
PPP;2010552;SIRBEL UD;ODENA UD;BAYER SAS;Produit de référence;Professionnel;;folpel (Folpet) 56.25 % | iprovalicarbe (Iprovalicarb) 9.0 %;Fongicide;Granulé dispersable;12703203;Vigne*Trt Part.Aer.*Mildiou(s);02/06/2014;;;Autorisé;1.3;kg/ha;28.0;;2.0;;;pour le raisin de cuve: Au plus deux applications non consécutives  ;5.0;5.0;;;
PPP;2010552;SIRBEL UD;ODENA UD;BAYER SAS;Produit de référence;Professionnel;;folpel (Folpet) 56.25 % | iprovalicarbe (Iprovalicarb) 9.0 %;Fongicide;Granulé dispersable;12703202;Vigne*Trt Part.Aer.*Excoriose;02/06/2014;;;Retrait;;;;;;30/09/2015;30/09/2014;;;;;;
PPP;2160278;VITIPEC WG ADVANCE;MILITE F WG | PERSUAD F WG;ASCENZA France;Produit de référence;Professionnel;;folpel (Folpet) 660.0 g/kg | cymoxanil (Cymoxanil) 80.0 g/kg;Fongicide;Granulé dispersable;12703203;Vigne*Trt Part.Aer.*Mildiou(s);07/02/2019;18.0;77.0;Autorisé;1.5;kg/ha;42.0;;2.0;;;Uniquement sur raisin de cuve;20.0;;;;
PPP;2160278;VITIPEC WG ADVANCE;MILITE F WG | PERSUAD F WG;ASCENZA France;Produit de référence;Professionnel;;folpel (Folpet) 660.0 g/kg | cymoxanil (Cymoxanil) 80.0 g/kg;Fongicide;Granulé dispersable;12703203;Vigne*Trt Part.Aer.*Mildiou(s);07/02/2019;18.0;69.0;Autorisé;1.5;kg/ha;;;2.0;;;Uniquement sur raisin de table.;20.0;;;;
PPP;2160278;VITIPEC WG ADVANCE;MILITE F WG | PERSUAD F WG;ASCENZA France;Produit de référence;Professionnel;;folpel (Folpet) 660.0 g/kg | cymoxanil (Cymoxanil) 80.0 g/kg;Fongicide;Granulé dispersable;12703203;Vigne*Trt Part.Aer.*Mildiou(s);07/02/2019;18.0;77.0;Autorisé;1.5;kg/ha;;;2.0;;;Uniquement sur vignes-mères et pépinières viticoles;20.0;;;;
PPP;9900004;COCKPIT;;SIPCAM OXON SPA;Produit de référence;Professionnel;;mépanipyrime (Mepanipyrim) 50.0 %;Fongicide;Poudre mouillable;12703205;Vigne*Trt Part.Aer.*Pourriture grise;19/10/2016;;;Autorisé;1.2;kg/ha;;;1.0;;;;;;;;
PPP;9900004;COCKPIT;;SIPCAM OXON SPA;Produit de référence;Professionnel;;mépanipyrime (Mepanipyrim) 50.0 %;Fongicide;Poudre mouillable;12703205;Vigne*Trt Part.Aer.*Pourriture grise;19/10/2016;;;Autorisé;1.2;kg/ha;;;1.0;;;;;;;;
PPP;2090137;BORDO 20 MICRO;BOUILLIE PROTECT WG | CUPRO TOP 20 WG | CUPRUSSUL 20 WG;INDUSTRIAS QUIMICAS DEL VALLES;Produit de référence;Professionnel;Utilisable en agriculture biologique;cuivre (Copper compounds) 200.0 g/kg;Fongicide;Granulé dispersable;12703203;Vigne*Trt Part.Aer.*Mildiou(s);30/10/2012;;;Autorisé;20.0;kg/ha;21.0;;5.0;;;En application pleine dose ou en applications fractionnées de la dose maximale autorisée sans dépasser la dose de 4000 g de cuivre metal/ha/an et par parcelle. Sur raisin de table : utilisation déconseillée au-delà du stade BBCH 17. ;20.0;20.0;20.0;;
PPP;9500452;BOUILLIE BORDELAISE RSR DISPERSS;;UPL EUROPE LTD;Produit de référence;Professionnel;Utilisable en agriculture biologique;cuivre (Copper compounds) 20.0 %;Fongicide;Granulé;12703301;Vigne*Trt Part.Aer.*Bactériose(s);06/12/2002;;;Autorisé;20.0;kg/ha;;;;;;;;;5.0;;
PPP;9500452;BOUILLIE BORDELAISE RSR DISPERSS;;UPL EUROPE LTD;Produit de référence;Professionnel;Utilisable en agriculture biologique;cuivre (Copper compounds) 20.0 %;Fongicide;Granulé;12703203;Vigne*Trt Part.Aer.*Mildiou(s);15/04/2013;;;Autorisé;3.75;kg/ha;;;5.0;;;;;;5.0;;
PPP;9800474;BOUILLIE BORDELAISE RSR DISPERSS NC;EQAL DG;UPL EUROPE LTD;Produit de référence;Professionnel;Utilisable en agriculture biologique;cuivre (Copper compounds) 20.0 %;Fongicide;Granulé dispersable;12703203;Vigne*Trt Part.Aer.*Mildiou(s);27/04/2011;;;Autorisé;3.75;kg/ha;21.0;;5.0;;;;;;;;
PPP;9800474;BOUILLIE BORDELAISE RSR DISPERSS NC;EQAL DG;UPL EUROPE LTD;Produit de référence;Professionnel;Utilisable en agriculture biologique;cuivre (Copper compounds) 20.0 %;Fongicide;Granulé dispersable;12703301;Vigne*Trt Part.Aer.*Bactériose(s);06/12/2002;;;Autorisé (Provisoire);20.0;kg/ha;;;;;;;;;;;
PPP;2169998;VINTEC;;BI-PA SA;Produit de référence;Professionnel;Liste biocontrôle | Produit à faible risque article 47 | Utilisable en agriculture biologique;Trichoderma atroviride SC1 (Trichoderma atroviride strain SC1) 10000000000 UFC/g;Fongicide;Granulé dispersable;901061;Vigne*Trt Plants Boutures*Esca et black dead arm;02/02/2017;;;Autorisé;0.2;kg/hL;;;4.0;;;Utilisation en production de plants (opérations de bouturage, greffage, plantation, etc.);;;;;
PPP;2169998;VINTEC;;BI-PA SA;Produit de référence;Professionnel;Liste biocontrôle | Produit à faible risque article 47 | Utilisable en agriculture biologique;Trichoderma atroviride SC1 (Trichoderma atroviride strain SC1) 10000000000 UFC/g;Fongicide;Granulé dispersable;12703201;Vigne*Trt Part.Aer.*Esca et black dead arm;02/02/2017;;;Autorisé;0.2;kg/ha;;;2.0;;;Application en hiver après la taille;5.0;;;;
PPP;2169998;VINTEC;;BI-PA SA;Produit de référence;Professionnel;Liste biocontrôle | Produit à faible risque article 47 | Utilisable en agriculture biologique;Trichoderma atroviride SC1 (Trichoderma atroviride strain SC1) 10000000000 UFC/g;Fongicide;Granulé dispersable;12703211;Vigne*Trt Part.Aer.*Eutypiose;02/02/2017;;;Autorisé;0.2;kg/ha;;;2.0;;;Application en hiver après la taille;5.0;;;;
PPP;2169998;VINTEC;;BI-PA SA;Produit de référence;Professionnel;Liste biocontrôle | Produit à faible risque article 47 | Utilisable en agriculture biologique;Trichoderma atroviride SC1 (Trichoderma atroviride strain SC1) 10000000000 UFC/g;Fongicide;Granulé dispersable;12703205;Vigne*Trt Part.Aer.*Pourriture grise;31/12/2019;68.0;;Autorisé;0.2;kg/ha;21.0;;4.0;;;;5.0;;;;
PPP;2110073;EXPLICIT EC;AVAUNT EC | STEWARD EC;CHEMINOVA Agro France SAS;Produit de référence;Professionnel;;indoxacarbe (Indoxacarb) 150.0 g/L;Insecticide;Concentré émulsionnable;12703117;Vigne*Trt Part.Aer.*Chenilles phytophages;11/05/2011;;;Autorisé;0.25;L/ha;10.0;;3.0;;;;5.0;;;;
PPP;2110073;EXPLICIT EC;AVAUNT EC | STEWARD EC;CHEMINOVA Agro France SAS;Produit de référence;Professionnel;;indoxacarbe (Indoxacarb) 150.0 g/L;Insecticide;Concentré émulsionnable;12703119;Vigne*Trt Part.Aer.*Cicadelles (1);11/05/2011;;;Autorisé;0.25;L/ha;10.0;;3.0;;;;5.0;;;;
